phrase,pose,source_sheet,pose_file
31,2,phrase_31.png,phrase_31_pose_02.jpg
31,3,phrase_31.png,phrase_31_pose_03.jpg
31,4,phrase_31.png,phrase_31_pose_04.jpg
31,5,phrase_31.png,phrase_31_pose_05.jpg
31,6,phrase_31.png,phrase_31_pose_06.jpg
31,7,phrase_31.png,phrase_31_pose_07.jpg
31,8,phrase_31.png,phrase_31_pose_08.jpg
31,9,phrase_31.png,phrase_31_pose_09.jpg
31,10,phrase_31.png,phrase_31_pose_10.jpg
32,1,phrase_32.png,phrase_32_pose_01.jpg
32,2,phrase_32.png,phrase_32_pose_02.jpg
32,3,phrase_32.png,phrase_32_pose_03.jpg
32,4,phrase_32.png,phrase_32_pose_04.jpg
32,5,phrase_32.png,phrase_32_pose_05.jpg
32,6,phrase_32.png,phrase_32_pose_06.jpg
32,7,phrase_32.png,phrase_32_pose_07.jpg
32,8,phrase_32.png,phrase_32_pose_08.jpg
32,9,phrase_32.png,phrase_32_pose_09.jpg
32,10,phrase_32.png,phrase_32_pose_10.jpg
33,1,phrase_33.png,phrase_33_pose_01.jpg
33,2,phrase_33.png,phrase_33_pose_02.jpg
33,3,phrase_33.png,phrase_33_pose_03.jpg
33,4,phrase_33.png,phrase_33_pose_04.jpg
33,5,phrase_33.png,phrase_33_pose_05.jpg
33,6,phrase_33.png,phrase_33_pose_06.jpg
33,7,phrase_33.png,phrase_33_pose_07.jpg
33,8,phrase_33.png,phrase_33_pose_08.jpg
33,9,phrase_33.png,phrase_33_pose_09.jpg
33,10,phrase_33.png,phrase_33_pose_10.jpg
34,1,phrase_34.png,phrase_34_pose_01.jpg
34,2,phrase_34.png,phrase_34_pose_02.jpg
34,3,phrase_34.png,phrase_34_pose_03.jpg
34,4,phrase_34.png,phrase_34_pose_04.jpg
34,5,phrase_34.png,phrase_34_pose_05.jpg
34,6,phrase_34.png,phrase_34_pose_06.jpg
34,7,phrase_34.png,phrase_34_pose_07.jpg
34,8,phrase_34.png,phrase_34_pose_08.jpg
34,9,phrase_34.png,phrase_34_pose_09.jpg
34,10,phrase_34.png,phrase_34_pose_10.jpg
35,1,phrase_35.png,phrase_35_pose_01.jpg
35,2,phrase_35.png,phrase_35_pose_02.jpg
35,3,phrase_35.png,phrase_35_pose_03.jpg
35,4,phrase_35.png,phrase_35_pose_04.jpg
35,5,phrase_35.png,phrase_35_pose_05.jpg
35,6,phrase_35.png,phrase_35_pose_06.jpg
35,7,phrase_35.png,phrase_35_pose_07.jpg
35,8,phrase_35.png,phrase_35_pose_08.jpg
35,9,phrase_35.png,phrase_35_pose_09.jpg
35,10,phrase_35.png,phrase_35_pose_10.jpg
36,1,phrase_36.png,phrase_36_pose_01.jpg
36,2,phrase_36.png,phrase_36_pose_02.jpg
36,3,phrase_36.png,phrase_36_pose_03.jpg
36,4,phrase_36.png,phrase_36_pose_04.jpg
36,5,phrase_36.png,phrase_36_pose_05.jpg
36,6,phrase_36.png,phrase_36_pose_06.jpg
36,7,phrase_36.png,phrase_36_pose_07.jpg
36,8,phrase_36.png,phrase_36_pose_08.jpg
36,9,phrase_36.png,phrase_36_pose_09.jpg
36,10,phrase_36.png,phrase_36_pose_10.jpg
